# D_loss, G_loss
1.326772689819335938e+00,7.343983054161071777e-01
1.337426066398620605e+00,7.356730103492736816e-01
1.344448089599609375e+00,7.257626056671142578e-01
1.341066598892211914e+00,7.261189818382263184e-01
1.330180048942565918e+00,7.186055183410644531e-01
1.341574668884277344e+00,7.195519804954528809e-01
1.345936298370361328e+00,7.276177406311035156e-01
1.343436717987060547e+00,7.031267881393432617e-01
1.342354297637939453e+00,7.220510244369506836e-01
1.354515075683593750e+00,7.079943418502807617e-01
1.335197687149047852e+00,7.238695621490478516e-01
1.347090721130371094e+00,7.179832458496093750e-01
1.359927654266357422e+00,7.105109691619873047e-01
1.350103855133056641e+00,7.038072347640991211e-01
1.361963510513305664e+00,7.050823569297790527e-01
1.357265472412109375e+00,7.142722010612487793e-01
1.361361026763916016e+00,6.982432603836059570e-01
1.359324932098388672e+00,7.010609507560729980e-01
1.361812829971313477e+00,6.949931383132934570e-01
1.360443472862243652e+00,6.922980546951293945e-01
1.361845016479492188e+00,6.906743645668029785e-01
1.365350484848022461e+00,6.982409954071044922e-01
1.367146015167236328e+00,6.910059452056884766e-01
1.366642117500305176e+00,6.888765096664428711e-01
1.377433776855468750e+00,6.881741285324096680e-01
1.363538742065429688e+00,6.827917098999023438e-01
1.360576391220092773e+00,6.919667720794677734e-01
1.359375000000000000e+00,6.868472099304199219e-01
1.359108567237854004e+00,6.856858730316162109e-01
1.368729829788208008e+00,6.834604144096374512e-01
1.358854055404663086e+00,6.866321563720703125e-01
1.353500127792358398e+00,6.931791901588439941e-01
1.364037990570068359e+00,6.843782663345336914e-01
1.371294975280761719e+00,6.820527911186218262e-01
1.373578548431396484e+00,6.770908236503601074e-01
1.367716193199157715e+00,6.870856285095214844e-01
1.359022498130798340e+00,6.881331801414489746e-01
1.354687452316284180e+00,6.832051277160644531e-01
1.374252557754516602e+00,6.795597672462463379e-01
1.378983497619628906e+00,6.784193515777587891e-01
1.374214410781860352e+00,6.704114675521850586e-01
1.364360332489013672e+00,6.819443702697753906e-01
1.376622915267944336e+00,6.768891215324401855e-01
1.367202520370483398e+00,6.773811578750610352e-01
1.365110635757446289e+00,6.749852895736694336e-01
1.384135365486145020e+00,6.716225743293762207e-01
1.386024713516235352e+00,6.737300157546997070e-01
1.360913276672363281e+00,6.841523051261901855e-01
1.370213150978088379e+00,6.749297380447387695e-01
1.366139769554138184e+00,6.704671382904052734e-01
1.369842767715454102e+00,6.732406616210937500e-01
